# X[mm],Y[mm],Z[mm]
5.258999999973883632e+02,2.172999999986252817e+02,-1.603900000000000091e+03
5.221455112173947555e+02,2.264963178015602807e+02,-1.603245239902735875e+03
5.182295886615905829e+02,2.356274908386707239e+02,-1.602590451969557080e+03
5.141533691436884510e+02,2.446906753015346965e+02,-1.601935643414011111e+03
5.099180397064671979e+02,2.536830473487037807e+02,-1.601280821422538111e+03
5.055248372688805603e+02,2.626018039940702806e+02,-1.600625993153935042e+03
5.009750482574608554e+02,2.714441639889685689e+02,-1.599971165738826130e+03
4.962700082221282969e+02,2.802073686977338411e+02,-1.599316346279146046e+03
4.914111014365211076e+02,2.888886829664433549e+02,-1.598661541847631042e+03
4.863997604829696684e+02,2.974853959845663098e+02,-1.598006759487313957e+03
4.812374658222389598e+02,3.059948221392529035e+02,-1.597352006211030130e+03
4.759257453481696416e+02,3.144143018619923851e+02,-1.596697289000934916e+03
4.704661739273551007e+02,3.227412024673764108e+02,-1.596042614808020971e+03
4.648603729239924292e+02,3.309729189837001968e+02,-1.595387990551655093e+03
4.591100097100526227e+02,3.391068749751439100e+02,-1.594733423119113013e+03
4.532167971609196115e+02,3.471405233552727054e+02,-1.594078919365128968e+03
4.471824931366510896e+02,3.550713471916001254e+02,-1.593424486111449824e+03
4.410088999490208153e+02,3.628968605009620774e+02,-1.592770130146405108e+03
4.346978638145023410e+02,3.706146090354492912e+02,-1.592115858224470912e+03
4.282512742933649861e+02,3.782221710586510426e+02,-1.591461677065861977e+03
4.216710637150499679e+02,3.857171581119656025e+02,-1.590807593356113102e+03
4.149592065900052944e+02,3.930972157707356018e+02,-1.590153613745679877e+03
4.081177190081568824e+02,4.003600243899679754e+02,-1.589499744849552144e+03
4.011486580242020636e+02,4.075032998394042920e+02,-1.588845993246857006e+03
3.940541210299132331e+02,4.145247942277096058e+02,-1.588192365480497983e+03
3.868362451136428035e+02,4.214222966155484187e+02,-1.587538868056773936e+03
3.794972064072284184e+02,4.281936337173244738e+02,-1.586885507445030953e+03
3.720392194204962379e+02,4.348366705913607575e+02,-1.586232290077306061e+03
3.644645363635680155e+02,4.413493113183014316e+02,-1.585579222347987070e+03
3.567754464571802941e+02,4.477294996675196330e+02,-1.584926310613482883e+03
3.489742752312268408e+02,4.539752197513220153e+02,-1.584273561191894942e+03
